"id","SYMBOL"
"17218305","RGS8"
"17218321","RGS16"
"17218328","RNASEL"
"17218341","GM5531"
"17218345","TEDDM1"
"17218349","GLUL"
"17218361",NA
"17218363","ZFP648"
"17218366","STX6"
"17218377","ACBD6"
"17218391",NA
"17218393","TOR1AIP2"
"17218412","NPHS2"
"17218423","RPL35"
"17218427","LOC100047957"
"17218430","ABL2"
"17218446","GM19918"
"17218449","ANGPTL1"
"17218460","2810025M15RIK"
"17218465","BC026585"
"17218479","SEC16B"
"17218514","ASTN1"
"17218541","MIR488"
"17218543","RFWD2"
"17218565","SCARNA3A"
"17218568","TNR"
"17218594",NA
"17218598","4930562F07RIK"
"17218607","MRPS14"
"17218616",NA
"17218618","GM6177"
"17218620","RC3H1"
"17218643","SERPINC1"
"17218653","GAS5"
"17218680","SNORD47"
"17218682","CENPL"
"17218694","ANKRD45"
"17218701","TNFSF4"
"17218707","TNFSF18"
"17218713","PIGC"
"17218722","2810442N19RIK"
"17218727","DNM3OS"
"17218733","DNM3"
"17218736","VAMP4"
"17218752","MYOC"
"17218758",NA
"17218760",NA
"17218763",NA
"17218765","KIFAP3"
"17218790","SCYL3"
"17218813","2810422O20RIK"
"17218820","SELE"
"17218835","SELL"
"17218845","SELP"
"17218861","F5"
"17218889","SLC19A2"
"17218899","4930455F23RIK"
"17218907","NME7"
"17218923",NA
"17218927","DPT"
"17218933","LOC433374"
"17218939","1700029M03RIK"
"17218942","GPR161"
"17218953",NA
"17218955","BRP44"
"17218965","ADCY10"
"17219005","CREG1"
"17219011","POU2F1"
"17219036",NA
"17219039","GPA33"
"17219053","ILDR2"
"17219067","TADA1"
"17219079","FAM78B"
"17219086","TMCO1"
"17219096","ALDH9A1"
"17219110","RXRG"
"17219127","LMX1A"
"17219139","RGS5"
"17219148","1700084C01RIK"
"17219156","3110045C21RIK"
"17219160","UHMK1"
"17219164","SH2D1B2"
"17219171","SH2D1B1"
"17219178","1700015E13RIK"
"17219182","NOS1AP"
"17219185","OLFML2B"
"17219196","DUSP12"
"17219199","FCGR4"
"17219206","RNU1B1"
"17219208","1700009P17RIK"
"17219222","MPZ"
"17219231","NR1I3"
"17219242","APOA2"
"17219248","ADAMTS4"
"17219264","B4GALT3"
"17219282","LOC100862110"
"17219284",NA
"17219286","DEDD"
"17219299","PFDN2"
"17219308","PVRL4"
"17219324","ARHGAP30"
"17219339","USF1"
"17219356","TSTD1"
"17219362","F11R"
"17219374","ALYREF2"
"17219378",NA
"17219382","CD244"
"17219397","CD48"
"17219407","SLAMF1"
"17219418","CD84"
"17219431",NA
"17219435","SLAMF6"
"17219448","COPA"
"17219489","PEX19"
"17219499","DCAF8"
"17219516",NA
"17219519","IGSF8"
"17219536","KCNJ10"
"17219542","PIGM"
"17219546","SLAMF9"
"17219554","IGSF9"
"17219581","TAGLN2"
"17219591","CCDC19"
"17219612","VSIG8"
"17219623","CRP"
"17219629","OLFR16"
"17219633","OLFR218"
"17219635","OLFR1404"
"17219639","OLFR418-PS1"
"17219643","AIM2"
"17219662","PYHIN1"
"17219670","PYDC3"
"17219677","OLFR433"
"17219680","OLFR432"
"17219682","OLFR430"
"17219684","OLFR429"
"17219686","OLFR427"
"17219688","OLFR424"
"17219690","OLFR421-PS1"
"17219694","OLFR420"
"17219698","SPNA1"
"17219751","1810030J14RIK"
"17219756","OLFR417"
"17219758","OLFR248"
"17219762","OLFR414"
"17219764","OLFR220"
"17219766","FMN2"
"17219789","KMO"
"17219811","WDR64"
"17219846",NA
"17219848","EXO1"
"17219865",NA
"17219867",NA
"17219869","SDCCAG8"
"17219895",NA
"17219897","ZFP238"
"17219902","1700016C15RIK"
"17219909","GM16432"
"17219963","PPPDE1"
"17219974",NA
"17219978","FAM36A"
"17219983",NA
"17219986",NA
"17219988","EFCAB2"
"17219997","KIF26B"
"17220016",NA
"17220018","CNST"
"17220034","SCCPDH"
"17220051",NA
"17220054","GM19846"
"17220059","CDC42BPA"
"17220110","ITPKB"
"17220122","PARP1"
"17220148","LIN9"
"17220166","ACBD3"
"17220177","H3F3A"
"17220182",NA
"17220186",NA
"17220188","BC031781"
"17220197","LEFTY2"
"17220204","PYCR2"
"17220214","LEFTY1"
"17220221","TMEM63A"
"17220249","9130409I23RIK"
"17220255","CNIH4"
"17220264",NA
"17220268","CNIH3"
"17220277","DNAHC14"
"17220364","SRP9"
"17220370","1700047M11RIK"
"17220373","TRP53BP2"
"17220394","CAPN8"
"17220417","SUSD4"
"17220432","TLR5"
"17220439","AIDA"
"17220452","TAF1A"
"17220464","HHIPL2"
"17220475","DUSP10"
"17220485","4930488B22RIK"
"17220489","RAB3GAP2"
"17220526","SNORA36B"
"17220529","MIR194-1"
"17220531","MIR215"
"17220533","BPNT1"
"17220548","EPRS"
"17220584","SLC30A10"
"17220591","5033404E19RIK"
"17220593",NA
"17220595",NA
"17220597","A430105J06RIK"
"17220600","D1PAS1"
"17220604","1700007P06RIK"
"17220608","GPATCH2"
"17220627","ESRRG"
"17220644","USH2A"
"17220719",NA
"17220721","A430027H14RIK"
"17220724","PTPN14"
"17220748",NA
"17220751","ANGEL2"
"17220768","MFSD7B"
"17220771","1700022P22RIK"
"17220776","NSL1"
"17220787","BATF3"
"17220792",NA
"17220794","D730003I15RIK"
"17220797","TMEM206"
"17220809","INTS7"
"17220833","LPGAT1"
"17220844","NEK2"
"17220861","SLC30A1"
"17220866","RD3"
"17220872","RCOR3"
"17220877","GM10516"
"17220882","KCNH1"
"17220898",NA
"17220900","1700065J18RIK"
"17220904","GM15867"
"17220907","IRF6"
"17220919","A130010J15RIK"
"17220921","A130010J15RIK"
"17220931",NA
"17220934",NA
"17220937",NA
"17220941","G0S2"
"17220944","LAMB3"
"17220974","PLXNA2"
"17221010","MIR3962"
"17221012",NA
"17221014","CD34"
"17221026","MIR29B-2"
"17221045","XKR4"
"17221054","GM19938"
"17221057",NA
"17221059",NA
"17221061","RP1"
"17221071","SOX17"
"17221079",NA
"17221081","MRPL15"
"17221093",NA
"17221096","RGS20"
"17221110","NPBWR1"
"17221114","4732440D04RIK"
"17221117",NA
"17221119",NA
"17221122","SNTG1"
"17221148","2610203C22RIK"
"17221158","MYBL1"
"17221177","VCPIP1"
"17221184",NA
"17221186","SNHG6"
"17221191","SNORD87"
"17221193",NA
"17221197","TCF24"
"17221200","PPP1R42"
"17221213",NA
"17221215","COPS5"
"17221228","ARFGEF1"
"17221269","CPA6"
"17221284",NA
"17221286",NA
"17221288","SLCO5A1"
"17221307","PRDM14"
"17221317","NCOA2"
"17221345",NA
"17221347","TRAM1"
"17221360","LACTB2"
"17221371",NA
"17221373","GM5523"
"17221375","EYA1"
"17221396","MSC"
"17221401","TRPA1"
"17221430",NA
"17221432",NA
"17221434",NA
"17221436","GM106"
"17221444","4930444P10RIK"
"17221454","RPL7"
"17221465","STAU2"
"17221490","UBE2W"
"17221497","TCEB1"
"17221502","JPH1"
"17221510",NA
"17221520","CRISP4"
"17221531","DEFB44-PS"
"17221533","DEFB18"
"17221536","DEFB41"
"17221542",NA
"17221544","TFAP2D"
"17221549",NA
"17221551",NA
"17221553","PKHD1"
"17221625",NA
"17221627","IL17F"
"17221633","MCM3"
"17221653",NA
"17221655","6720483E21RIK"
"17221660",NA
"17221662","TRAM2"
"17221676","GM4956"
"17221686","KCNQ5"
"17221709","RIMS1"
"17221751","4933415F23RIK"
"17221754",NA
"17221756","OGFRL1"
"17221765","GM19673"
"17221768","B3GAT2"
"17221786","1110058L19RIK"
"17221792","FAM135A"
"17221817","COL19A1"
"17221869",NA
"17221871","ND4L"
"17221873","ATP6"
"17221878","BAI3"
"17221914","GM20172"
"17221916",NA
"17221918","4931408C20RIK"
"17221923",NA
"17221925","GM597"
"17221930",NA
"17221932",NA
"17221934",NA
"17221939","PHF3"
"17221960","PTP4A1"
"17221970",NA
"17221975","GM6489"
"17221980","LGSN"
"17221987",NA
"17221989",NA
"17221991",NA
